SEX,AGE,MARST,RACE,BPL,HIGRADE,CLASSWKRD,OCCSCORE
2,23,6,1,6,15,28,13
1,31,1,1,1,9,22,29
1,40,1,1,35,9,22,9
2,19,6,1,6,16,22,6
1,44,1,1,1,8,22,25
2,53,1,1,1,15,22,32
2,25,6,1,9,17,13,37
1,68,1,1,13,7,22,13
2,31,1,2,45,16,22,24
1,41,1,1,6,15,28,20
1,47,4,1,1,6,28,20
2,22,1,2,5,15,28,22
2,37,5,1,6,15,22,29
1,34,1,1,150,15,27,27
1,22,1,1,6,14,22,41
2,31,1,1,200,9,22,9
1,56,1,1,6,16,22,41
2,19,1,1,6,12,22,21
2,30,1,1,51,9,22,23
2,29,1,1,39,18,22,27
1,45,1,1,6,16,13,41
2,22,1,1,41,15,22,24
2,27,1,1,19,15,22,25
1,44,1,1,40,15,28,25
1,36,1,1,5,15,22,41
2,33,1,1,6,13,27,11
2,16,6,1,9,12,22,18
2,53,1,1,5,15,22,22
1,64,1,1,40,15,28,41
1,30,6,1,6,20,22,24
2,24,4,2,1,15,22,23
1,23,1,1,200,9,22,23
1,35,4,1,6,15,22,23
2,50,1,1,26,15,22,23
2,20,1,1,6,16,22,11
2,53,5,2,1,12,22,20
1,43,1,1,6,15,28,29
1,69,5,1,1,9,29,24
2,51,3,1,6,15,28,22
1,56,1,1,13,18,22,34
1,63,1,2,48,15,28,26
1,48,1,1,1,10,28,29
1,42,1,2,5,18,22,23
1,63,1,1,6,17,14,24
2,46,4,1,6,15,22,24
1,31,6,1,6,13,13,14
2,30,1,1,9,19,22,36
1,33,1,1,34,19,22,38
2,64,4,1,12,20,13,24
1,38,1,1,29,16,22,41
1,27,1,1,25,15,22,32
1,44,1,1,36,20,22,39
1,37,1,1,1,19,22,23
1,30,4,1,6,19,13,30
1,22,1,1,1,11,22,38
1,44,1,1,27,7,22,41
2,25,6,1,17,16,22,22
2,18,1,1,24,13,22,37
1,46,1,1,6,15,22,31
2,38,1,1,200,14,22,21
1,24,6,4,48,18,22,32
2,46,1,1,6,15,22,24
1,22,6,1,150,18,22,22
1,44,4,1,6,15,22,25
1,27,1,1,56,17,25,20
2,28,3,1,53,15,22,22
1,34,6,1,6,17,13,17
1,68,6,1,200,7,28,20
2,57,1,1,421,12,22,21
1,22,6,2,1,15,27,22
1,50,1,1,5,11,13,38
1,39,1,1,5,20,14,49
2,35,1,1,38,17,22,25
1,32,1,1,27,14,13,23
1,36,1,1,5,13,22,37
1,19,6,1,5,15,22,20
2,29,1,1,30,17,22,22
2,22,1,1,12,16,25,11
1,72,1,1,1,6,13,41
2,35,3,1,6,17,25,11
2,19,6,1,6,14,25,26
1,62,1,1,6,11,22,24
1,37,2,1,13,17,22,22
1,25,1,1,18,15,13,24
2,18,6,1,6,15,28,13
1,28,1,1,6,17,22,41
1,46,1,1,42,15,22,32
2,35,1,1,53,18,22,37
1,44,1,1,200,6,22,16
1,58,1,1,6,15,22,29
1,43,1,2,1,15,22,13
1,29,1,1,17,17,22,29
1,63,1,1,36,15,13,35
1,24,1,2,26,15,25,11
2,44,1,2,5,11,22,6
2,28,6,1,6,19,22,61
2,32,1,1,6,15,22,40
2,33,1,1,6,20,28,27
2,17,6,1,6,14,22,24
1,49,1,1,6,16,27,20
2,51,5,1,5,13,22,24
1,29,1,1,1,12,22,23
2,34,1,1,1,15,22,24
2,44,1,1,5,19,28,26
1,35,3,2,1,15,22,20
2,65,5,2,1,5,28,16
2,59,6,1,6,19,22,41
1,21,6,1,6,12,22,30
2,24,1,1,4,19,22,25
1,72,1,1,48,12,22,29
1,28,1,1,200,13,22,23
1,23,6,1,25,16,25,24
1,60,1,1,28,13,22,29
1,28,6,2,17,17,22,16
2,21,6,1,200,15,22,22
1,46,1,1,6,20,22,61
1,35,1,1,6,17,22,27
1,34,4,1,20,17,22,40
1,60,1,1,42,11,28,20
2,27,4,1,6,15,28,38
2,22,1,1,6,15,22,37
1,37,1,1,31,15,22,38
2,23,1,1,6,17,22,22
2,54,1,5,6,10,13,23
2,42,4,1,1,15,22,16
1,60,1,1,29,19,14,24
1,19,6,2,47,15,25,11
2,23,1,1,4,10,25,13
2,30,1,1,200,12,22,21
1,27,6,1,6,18,22,27
2,44,1,1,5,15,22,22
2,62,5,1,1,11,22,33
1,46,1,1,1,9,28,37
2,44,4,1,6,15,22,22
1,30,6,1,6,19,25,25
1,54,6,1,25,15,25,25
2,52,1,1,6,15,14,27
1,37,6,1,1,15,22,24
2,29,1,1,5,11,22,24
2,28,1,1,200,9,22,22
1,28,1,2,1,17,22,22
1,51,1,2,40,13,22,25
2,45,4,1,20,17,22,41
1,52,1,1,1,5,22,30
1,22,6,1,6,15,22,20
1,41,4,1,6,15,22,37
1,24,1,1,6,18,22,30
1,55,1,1,42,15,22,25
1,36,1,1,36,16,22,30
1,53,1,1,6,15,28,30
1,24,1,1,1,15,22,23
1,39,1,1,6,19,13,24
2,82,5,1,150,16,13,27
1,54,1,1,40,15,13,26
1,66,4,1,36,15,22,35
2,25,6,1,6,16,22,22
1,16,6,1,34,12,22,4
2,52,1,1,36,15,22,22
2,43,4,1,20,13,22,23
2,34,3,1,29,16,22,29
1,19,6,2,17,15,28,22
2,19,1,1,12,15,22,11
2,22,1,1,17,15,22,29
2,21,1,1,4,13,25,30
1,36,1,1,40,19,13,17
1,35,1,1,5,15,13,14
2,53,5,1,48,9,27,11
2,28,1,1,6,15,22,41
2,66,5,1,6,14,22,24
1,48,1,1,39,12,25,35
1,41,1,1,5,6,22,20
2,67,5,1,1,10,22,22
1,40,1,6,15,15,22,23
2,25,1,1,4,11,27,30
2,16,6,1,6,13,22,18
2,57,1,1,27,18,22,22
2,64,1,1,31,15,22,24
2,21,6,2,42,17,22,22
1,59,1,1,34,19,13,24
1,41,1,1,6,17,13,14
2,66,1,1,22,16,22,18
1,34,1,1,6,16,13,24
2,48,5,2,48,19,13,35
1,65,1,1,6,12,22,20
1,23,6,1,10,15,22,23
1,22,1,1,48,15,22,21
1,28,1,1,17,17,25,11
1,54,1,5,6,19,22,38
2,56,4,1,36,20,28,13
2,36,6,1,414,18,22,19
2,58,6,1,6,15,22,11
2,25,1,1,6,15,22,25
2,18,1,1,42,15,22,41
1,32,4,1,5,20,22,27
2,67,5,1,5,12,22,6
2,65,1,1,1,10,22,31
1,49,1,3,40,19,22,79
1,17,6,1,6,14,22,17
2,86,5,1,29,17,13,22
1,28,1,4,6,19,22,20
2,42,1,1,6,17,22,22
2,61,1,2,5,13,22,13
1,59,1,1,6,12,22,19
2,56,1,1,55,18,29,22
2,63,1,1,17,19,27,22
1,20,6,1,200,11,22,26
1,36,1,1,1,14,22,37
1,49,1,1,48,15,25,25
2,49,6,1,200,9,22,22
1,42,1,1,27,15,22,37
2,57,3,1,39,12,22,11
2,55,5,1,29,18,27,19
2,39,3,1,27,15,28,24
2,66,1,1,24,15,13,16
2,41,1,1,6,13,22,21
2,30,1,1,26,19,22,6
1,20,6,1,6,15,22,29
2,36,1,1,6,16,22,37
1,21,6,1,6,14,25,11
2,40,4,1,25,15,27,23
2,24,1,1,39,11,22,18
2,35,4,1,36,17,22,22
2,18,1,1,5,15,22,11
1,56,1,1,6,14,28,21
2,34,1,1,19,17,22,19
1,43,3,1,200,18,22,23
2,25,1,1,6,11,22,41
1,63,1,1,30,20,22,37
2,64,6,1,6,15,22,24
2,42,4,1,5,14,22,26
2,39,4,1,1,17,22,22
1,29,4,1,200,15,22,23
1,55,1,2,1,20,25,35
2,37,4,1,5,12,22,23
1,31,1,1,13,15,22,23
2,27,1,1,41,20,28,38
1,56,1,3,2,11,22,20
1,22,1,1,6,11,22,27
2,31,1,1,19,15,22,25
1,57,1,1,424,15,22,38
2,39,4,2,28,11,27,17
1,36,1,1,40,18,22,31
1,41,6,1,18,20,22,27
1,33,1,2,6,15,22,29
2,48,1,1,20,15,22,23
2,56,4,2,5,8,22,6
2,49,1,1,22,16,25,30
2,48,1,1,1,15,28,26
2,27,6,1,34,16,22,24
2,37,4,1,6,16,25,22
2,26,1,1,29,19,27,27
1,17,6,1,200,4,22,9
1,20,6,1,6,15,22,26
2,35,6,1,6,19,22,24
2,35,1,2,1,15,22,31
1,30,6,1,6,19,22,41
2,24,1,1,37,13,22,11
1,30,4,1,33,15,22,32
1,50,1,1,6,16,13,24
2,73,1,2,29,19,25,37
2,35,4,1,19,15,22,20
1,29,1,2,1,15,22,20
2,27,6,1,36,20,22,35
1,20,6,1,1,13,22,25
1,57,1,1,5,13,13,14
1,50,1,3,2,6,22,24
1,22,1,1,1,15,22,24
1,19,6,5,6,15,22,35
2,32,4,1,6,20,13,26
2,29,1,1,6,16,13,35
2,48,1,2,1,15,28,16
1,29,1,1,18,15,25,11
1,44,4,1,31,15,22,27
1,21,6,1,49,15,27,20
2,20,4,1,51,15,22,18
2,28,6,1,6,17,27,24
2,49,1,1,5,15,22,26
2,59,1,1,24,15,22,22
2,36,1,1,18,13,22,25
1,31,1,2,1,15,22,20
1,22,1,1,1,14,22,24
1,62,1,1,40,12,22,24
2,24,6,3,2,13,22,22
2,16,2,1,5,13,22,22
2,17,6,1,12,14,22,18
2,27,1,1,6,15,22,13
